order_id,customer_id,seller_id,product_id,order_date,quantity,unit_price,discount_rate,order_value,delivery_days,order_status,payment_method,seller_rating,delivery_bucket,rating_bucket,discount_bucket
ORD00015,C01989,S0831,P0123,2025-09-14,2,525,0.1,945.0,3,Delivered,Debit Card,3.9,1-3 Days,Medium Rating,1-10%
ORD00016,C01311,S0402,P0053,2025-05-23,1,3789,0.0,3789.0,3,Delivered,COD,3.7,1-3 Days,Medium Rating,No Discount
ORD00017,C07513,S0695,P0054,2025-03-11,2,3997,0.2,6395.2,3,Delivered,COD,4.2,1-3 Days,Medium Rating,11-20%
ORD00018,C09932,S0704,P0459,2025-07-15,1,1785,0.1,1606.5,7,Returned,UPI,3.2,7-10 Days,Low Rating,1-10%
ORD00019,C01747,S0009,P0258,2025-01-02,2,3315,0.2,5304.0,2,Delivered,COD,4.8,1-3 Days,High Rating,11-20%
ORD00020,C08485,S0331,P0259,2025-08-26,3,3671,0.15,9361.05,5,Delivered,Credit Card,4.9,4-6 Days,High Rating,11-20%
ORD00021,C05322,S0992,P0434,2025-05-22,2,4960,0.1,8928.0,1,Delivered,Debit Card,3.2,1-3 Days,Low Rating,1-10%
ORD00022,C04115,S0244,P0245,2025-03-09,1,4858,0.15,4129.3,4,Delivered,COD,3.4,4-6 Days,Low Rating,11-20%
ORD00023,C08329,S0915,P0280,2025-08-15,1,4660,0.05,4427.0,4,Delivered,COD,3.9,4-6 Days,Medium Rating,1-10%
ORD00024,C07000,S0889,P0249,2025-07-04,2,1700,0.2,2720.0,3,Delivered,Wallet,5.0,1-3 Days,High Rating,11-20%
ORD00025,C08927,S0038,P0046,2025-08-24,1,2776,0.2,2220.8,8,Delivered,UPI,4.2,7-10 Days,Medium Rating,11-20%
ORD00026,C09367,S0928,P0146,2025-01-20,1,3940,0.25,2955.0,8,Delivered,UPI,4.9,7-10 Days,High Rating,21-30%
ORD00027,C06443,S0467,P0249,2025-07-18,1,1700,0.2,1360.0,5,Delivered,UPI,3.2,4-6 Days,Low Rating,11-20%
ORD00028,C02754,S0368,P0231,2025-09-01,1,494,0.15,419.9,3,Delivered,UPI,3.2,1-3 Days,Low Rating,11-20%
ORD00029,C03836,S0839,P0234,2025-06-23,2,3015,0.25,4522.5,2,Delivered,UPI,3.0,1-3 Days,Low Rating,21-30%
ORD00030,C07863,S0716,P0091,2025-11-25,2,3382,0.1,6087.6,4,Delivered,COD,4.8,4-6 Days,High Rating,1-10%
ORD00031,C04326,S0488,P0212,2025-09-22,1,838,0.3,586.6,3,Delivered,UPI,3.7,1-3 Days,Medium Rating,21-30%
ORD00032,C07139,S0676,P0150,2025-09-25,1,1361,0.25,1020.75,3,Delivered,COD,4.1,1-3 Days,Medium Rating,21-30%
ORD00033,C04123,S0169,P0410,2025-02-25,1,280,0.2,224.0,3,Delivered,Credit Card,3.1,1-3 Days,Low Rating,11-20%
ORD00034,C01071,S0677,P0327,2025-08-04,1,401,0.15,340.85,1,Delivered,COD,4.8,1-3 Days,High Rating,11-20%
ORD00035,C05255,S0150,P0320,2025-05-28,2,614,0.1,1105.2,2,Delivered,UPI,4.6,1-3 Days,High Rating,1-10%
ORD00036,C00338,S0378,P0257,2025-01-25,2,478,0.2,764.8,9,Delivered,UPI,4.3,7-10 Days,Medium Rating,11-20%
ORD00037,C06225,S0223,P0052,2025-08-09,1,3942,0.0,3942.0,2,Returned,UPI,3.4,1-3 Days,Low Rating,No Discount
ORD00038,C05565,S0343,P0229,2025-04-15,1,559,0.05,531.05,5,Delivered,Credit Card,3.8,4-6 Days,Medium Rating,1-10%
ORD00039,C00521,S0137,P0051,2025-06-30,1,4545,0.2,3636.0,4,Delivered,COD,3.7,4-6 Days,Medium Rating,11-20%
ORD00040,C07194,S0063,P0231,2025-04-21,2,494,0.1,889.2,6,Delivered,COD,4.2,4-6 Days,Medium Rating,1-10%
ORD00041,C07297,S0647,P0019,2025-10-13,1,4610,0.0,4610.0,6,Delivered,UPI,4.9,4-6 Days,High Rating,No Discount
ORD00042,C06043,S0797,P0275,2025-12-25,3,3555,0.2,8532.0,4,Delivered,COD,5.0,4-6 Days,High Rating,11-20%
ORD00043,C09229,S0397,P0040,2025-12-27,1,4843,0.2,3874.4,2,Delivered,Credit Card,3.4,1-3 Days,Low Rating,11-20%
ORD00044,C05373,S0451,P0374,2025-05-24,1,809,0.0,809.0,3,Delivered,COD,4.7,1-3 Days,High Rating,No Discount
ORD00045,C07420,S0479,P0007,2025-05-05,1,305,0.25,228.75,7,Delivered,Wallet,3.3,7-10 Days,Low Rating,21-30%
ORD00046,C06351,S0446,P0191,2025-10-27,2,3690,0.0,7380.0,5,Delivered,COD,4.2,4-6 Days,Medium Rating,No Discount
ORD00047,C01121,S0858,P0439,2025-01-14,1,4057,0.2,3245.6,4,Delivered,COD,4.8,4-6 Days,High Rating,11-20%
ORD00048,C05322,S0742,P0078,2025-09-01,2,2413,0.05,4584.7,2,Delivered,COD,5.0,1-3 Days,High Rating,1-10%
ORD00049,C00771,S0859,P0350,2025-11-18,2,2626,0.3,3676.4,6,Delivered,Debit Card,4.8,4-6 Days,High Rating,21-30%
ORD00050,C05579,S0451,P0177,2025-08-28,1,2670,0.15,2269.5,10,Delivered,UPI,4.7,7-10 Days,High Rating,11-20%
ORD00051,C00845,S0277,P0104,2025-04-16,1,4066,0.15,3456.1,8,Delivered,Credit Card,4.8,7-10 Days,High Rating,11-20%
ORD00052,C07714,S0392,P0281,2025-05-31,1,2029,0.0,2029.0,4,Delivered,COD,4.1,4-6 Days,Medium Rating,No Discount
ORD00053,C03159,S0173,P0480,2025-11-02,1,2954,0.2,2363.2,5,Delivered,Credit Card,5.0,4-6 Days,High Rating,11-20%
ORD00054,C03794,S0289,P0279,2025-03-05,1,4256,0.2,3404.8,6,Returned,UPI,3.9,4-6 Days,Medium Rating,11-20%
ORD00055,C02940,S0975,P0455,2025-11-25,2,2265,0.1,4077.0,5,Delivered,COD,4.6,4-6 Days,High Rating,1-10%
ORD00056,C09808,S0459,P0020,2025-01-22,2,4572,0.15,7772.4,9,Delivered,Debit Card,4.7,7-10 Days,High Rating,11-20%
ORD00057,C03756,S0934,P0123,2025-01-13,1,525,0.2,420.0,1,Delivered,Debit Card,3.4,1-3 Days,Low Rating,11-20%
ORD00058,C08291,S0123,P0194,2025-12-18,1,438,0.0,438.0,2,Returned,Debit Card,3.3,1-3 Days,Low Rating,No Discount
ORD00059,C00384,S0006,P0282,2025-12-08,1,3908,0.1,3517.2,3,Delivered,UPI,3.9,1-3 Days,Medium Rating,1-10%
ORD00060,C07275,S0808,P0152,2025-10-27,1,2732,0.05,2595.4,2,Delivered,UPI,3.8,1-3 Days,Medium Rating,1-10%
ORD00061,C08908,S0371,P0211,2025-02-19,1,1359,0.15,1155.15,10,Delivered,COD,4.6,7-10 Days,High Rating,11-20%
ORD00062,C01990,S0580,P0427,2025-08-16,1,3621,0.15,3077.85,5,Delivered,UPI,3.7,4-6 Days,Medium Rating,11-20%
ORD00063,C06996,S0611,P0451,2025-01-19,1,4188,0.05,3978.6,2,Delivered,UPI,3.6,1-3 Days,Medium Rating,1-10%
ORD00064,C04774,S0765,P0092,2025-12-06,1,782,0.15,664.7,6,Delivered,Credit Card,4.1,4-6 Days,Medium Rating,11-20%
ORD00065,C02401,S0135,P0433,2025-06-30,2,355,0.25,532.5,2,Delivered,COD,4.9,1-3 Days,High Rating,21-30%
ORD00066,C08335,S0536,P0098,2025-11-30,3,4012,0.0,12036.0,5,Delivered,Debit Card,3.5,4-6 Days,Low Rating,No Discount
ORD00067,C07138,S0094,P0207,2025-07-18,1,2772,0.1,2494.8,4,Delivered,COD,4.5,4-6 Days,Medium Rating,1-10%
ORD00068,C01894,S0067,P0029,2025-03-18,2,4168,0.15,7085.6,10,Delivered,Debit Card,3.5,7-10 Days,Low Rating,11-20%
ORD00069,C09397,S0956,P0036,2025-03-17,1,1326,0.15,1127.1,7,Cancelled,Debit Card,3.4,7-10 Days,Low Rating,11-20%
ORD00070,C03011,S0850,P0357,2025-04-01,1,3527,0.0,3527.0,2,Cancelled,UPI,3.2,1-3 Days,Low Rating,No Discount
ORD00071,C05512,S0630,P0079,2025-10-20,1,4347,0.15,3694.95,8,Delivered,UPI,4.8,7-10 Days,High Rating,11-20%
ORD00072,C07615,S0910,P0294,2025-08-06,3,4395,0.15,11207.25,5,Delivered,UPI,3.0,4-6 Days,Low Rating,11-20%
ORD00073,C06844,S0670,P0248,2025-10-21,2,1725,0.1,3105.0,2,Delivered,UPI,3.9,1-3 Days,Medium Rating,1-10%
ORD00074,C02136,S0723,P0407,2025-11-16,4,838,0.05,3184.4,6,Delivered,UPI,3.6,4-6 Days,Medium Rating,1-10%
ORD00075,C02989,S0485,P0302,2025-10-24,1,4819,0.25,3614.25,6,Delivered,UPI,4.2,4-6 Days,Medium Rating,21-30%
ORD00076,C01301,S0203,P0226,2025-09-25,1,4870,0.25,3652.5,4,Delivered,Wallet,3.1,4-6 Days,Low Rating,21-30%
ORD00077,C04064,S0281,P0087,2025-04-25,1,4722,0.1,4249.8,3,Delivered,UPI,4.7,1-3 Days,High Rating,1-10%
ORD00078,C00234,S0910,P0295,2025-02-10,4,978,0.25,2934.0,4,Delivered,COD,3.0,4-6 Days,Low Rating,21-30%
ORD00079,C08863,S0218,P0468,2025-04-26,1,2699,0.05,2564.05,6,Delivered,UPI,3.2,4-6 Days,Low Rating,1-10%
ORD00080,C06584,S0288,P0046,2025-03-18,1,2776,0.1,2498.4,5,Delivered,Credit Card,3.8,4-6 Days,Medium Rating,1-10%
ORD00081,C08970,S0150,P0419,2025-10-21,1,1917,0.1,1725.3,7,Delivered,UPI,4.6,7-10 Days,High Rating,1-10%
ORD00082,C02281,S0531,P0052,2025-10-18,2,3942,0.15,6701.4,7,Delivered,UPI,4.7,7-10 Days,High Rating,11-20%
ORD00083,C06866,S0957,P0344,2025-05-25,1,1568,0.3,1097.6,8,Delivered,COD,3.2,7-10 Days,Low Rating,21-30%
ORD00084,C08184,S0859,P0491,2025-10-12,1,210,0.05,199.5,4,Delivered,Credit Card,4.8,4-6 Days,High Rating,1-10%
ORD00085,C08068,S0510,P0154,2025-05-15,1,2424,0.2,1939.2,4,Delivered,UPI,4.7,4-6 Days,High Rating,11-20%
ORD00086,C01377,S0250,P0297,2025-09-29,1,2597,0.15,2207.45,6,Delivered,UPI,4.6,4-6 Days,High Rating,11-20%
ORD00087,C05245,S0158,P0228,2025-12-13,1,1234,0.25,925.5,1,Delivered,UPI,4.8,1-3 Days,High Rating,21-30%
ORD00088,C09662,S0257,P0057,2025-09-24,1,3009,0.2,2407.2,2,Delivered,UPI,4.1,1-3 Days,Medium Rating,11-20%
ORD00089,C01862,S0058,P0413,2025-09-26,1,2992,0.15,2543.2,3,Delivered,Wallet,4.9,1-3 Days,High Rating,11-20%
ORD00090,C09106,S0577,P0103,2025-11-11,1,1622,0.05,1540.9,5,Cancelled,UPI,3.3,4-6 Days,Low Rating,1-10%
ORD00091,C07079,S0979,P0484,2025-08-23,2,4324,0.0,8648.0,1,Delivered,UPI,4.8,1-3 Days,High Rating,No Discount
ORD00092,C09650,S0025,P0219,2025-07-13,1,2417,0.15,2054.45,1,Delivered,UPI,4.3,1-3 Days,Medium Rating,11-20%
ORD00093,C06070,S0659,P0327,2025-07-25,2,401,0.15,681.7,3,Delivered,UPI,4.1,1-3 Days,Medium Rating,11-20%
ORD00094,C00062,S0484,P0127,2025-06-10,3,936,0.25,2106.0,4,Delivered,Debit Card,4.4,4-6 Days,Medium Rating,21-30%
ORD00095,C00994,S0723,P0435,2025-11-14,1,2982,0.15,2534.7,3,Delivered,UPI,3.6,1-3 Days,Medium Rating,11-20%
ORD00096,C06883,S0253,P0483,2025-10-15,1,2066,0.05,1962.7,4,Delivered,Credit Card,4.9,4-6 Days,High Rating,1-10%
ORD00097,C06151,S0846,P0015,2025-09-11,1,696,0.1,626.4,1,Returned,UPI,4.4,1-3 Days,Medium Rating,1-10%
ORD00098,C02860,S0392,P0143,2025-03-18,4,2491,0.0,9964.0,2,Delivered,UPI,4.1,1-3 Days,Medium Rating,No Discount
ORD00099,C00942,S0001,P0020,2025-01-21,2,4572,0.2,7315.2,5,Delivered,Debit Card,3.2,4-6 Days,Low Rating,11-20%
ORD00100,C07771,S0401,P0193,2025-11-27,3,2303,0.1,6218.1,4,Delivered,COD,5.0,4-6 Days,High Rating,1-10%
ORD00101,C08599,S0719,P0240,2025-08-14,1,1320,0.0,1320.0,5,Delivered,Wallet,4.1,4-6 Days,Medium Rating,No Discount
ORD00102,C08042,S0701,P0464,2025-12-30,1,2422,0.0,2422.0,5,Returned,UPI,4.8,4-6 Days,High Rating,No Discount
ORD00103,C09371,S0508,P0053,2025-03-17,3,3789,0.05,10798.65,5,Delivered,UPI,4.1,4-6 Days,Medium Rating,1-10%
ORD00104,C00962,S0240,P0052,2025-08-15,2,3942,0.0,7884.0,5,Delivered,COD,3.3,4-6 Days,Low Rating,No Discount
ORD00105,C08785,S0193,P0264,2025-11-20,1,273,0.0,273.0,4,Delivered,Credit Card,3.5,4-6 Days,Low Rating,No Discount
ORD00106,C06443,S0118,P0016,2025-10-03,1,4598,0.0,4598.0,7,Delivered,UPI,3.0,7-10 Days,Low Rating,No Discount
ORD00107,C05503,S0674,P0273,2025-06-25,4,4137,0.2,13238.4,8,Delivered,UPI,3.0,7-10 Days,Low Rating,11-20%
ORD00108,C07144,S0754,P0265,2025-11-25,1,3184,0.1,2865.6,5,Delivered,UPI,3.4,4-6 Days,Low Rating,1-10%
ORD00109,C00208,S0641,P0225,2025-04-06,2,3467,0.25,5200.5,8,Delivered,COD,4.2,7-10 Days,Medium Rating,21-30%
ORD00110,C05362,S0507,P0480,2025-10-23,1,2954,0.15,2510.9,1,Delivered,UPI,3.8,1-3 Days,Medium Rating,11-20%
ORD00111,C03731,S0353,P0409,2025-11-07,2,680,0.05,1292.0,8,Delivered,COD,3.2,7-10 Days,Low Rating,1-10%
ORD00112,C08359,S0026,P0111,2025-02-25,1,3900,0.25,2925.0,3,Delivered,UPI,3.7,1-3 Days,Medium Rating,21-30%
ORD00113,C01150,S0119,P0164,2025-01-01,1,1443,0.05,1370.85,2,Delivered,COD,3.4,1-3 Days,Low Rating,1-10%
ORD00114,C06338,S0047,P0415,2025-05-30,1,3984,0.2,3187.2,5,Returned,UPI,3.2,4-6 Days,Low Rating,11-20%
ORD00115,C00828,S0112,P0054,2025-08-30,2,3997,0.2,6395.2,1,Delivered,UPI,4.2,1-3 Days,Medium Rating,11-20%
ORD00116,C04321,S0348,P0163,2025-11-30,1,1389,0.15,1180.65,3,Delivered,Debit Card,4.7,1-3 Days,High Rating,11-20%
ORD00117,C05779,S0669,P0357,2025-11-21,1,3527,0.1,3174.3,7,Delivered,COD,4.0,7-10 Days,Medium Rating,1-10%
ORD00118,C06652,S0650,P0347,2025-05-01,1,687,0.05,652.65,4,Delivered,UPI,3.8,4-6 Days,Medium Rating,1-10%
ORD00119,C01166,S0780,P0483,2025-07-21,1,2066,0.1,1859.4,2,Delivered,Debit Card,4.8,1-3 Days,High Rating,1-10%
ORD00120,C07305,S0651,P0262,2025-12-07,1,4480,0.25,3360.0,3,Delivered,COD,3.2,1-3 Days,Low Rating,21-30%
ORD00121,C02696,S0571,P0232,2025-05-13,1,1625,0.1,1462.5,4,Delivered,COD,4.5,4-6 Days,Medium Rating,1-10%
ORD00122,C06162,S0938,P0436,2025-06-26,1,2218,0.15,1885.3,1,Delivered,COD,3.0,1-3 Days,Low Rating,11-20%
ORD00123,C08149,S0090,P0221,2025-10-20,2,1064,0.2,1702.4,3,Delivered,COD,4.6,1-3 Days,High Rating,11-20%
ORD00124,C02155,S0242,P0463,2025-04-17,2,4386,0.05,8333.4,5,Delivered,UPI,3.8,4-6 Days,Medium Rating,1-10%
ORD00125,C05351,S0068,P0455,2025-02-19,2,2265,0.2,3624.0,10,Delivered,COD,5.0,7-10 Days,High Rating,11-20%
ORD00126,C06596,S0261,P0359,2025-06-12,2,854,0.2,1366.4,3,Delivered,UPI,3.5,1-3 Days,Low Rating,11-20%
ORD00127,C01470,S0282,P0131,2025-12-29,2,4681,0.0,9362.0,4,Delivered,Wallet,4.6,4-6 Days,High Rating,No Discount
ORD00128,C03190,S0640,P0044,2025-06-05,1,4754,0.0,4754.0,6,Delivered,UPI,5.0,4-6 Days,High Rating,No Discount
ORD00129,C03489,S0322,P0424,2025-05-30,2,4051,0.0,8102.0,4,Delivered,Debit Card,3.8,4-6 Days,Medium Rating,No Discount
ORD00130,C07283,S0972,P0100,2025-08-18,1,2349,0.1,2114.1,2,Delivered,Debit Card,3.2,1-3 Days,Low Rating,1-10%
ORD00131,C00809,S0410,P0376,2025-11-10,1,4067,0.25,3050.25,9,Delivered,UPI,3.1,7-10 Days,Low Rating,21-30%
ORD00132,C06522,S0700,P0195,2025-01-14,3,2823,0.3,5928.3,4,Delivered,Credit Card,4.0,4-6 Days,Medium Rating,21-30%
ORD00133,C07357,S0585,P0410,2025-06-25,1,280,0.0,280.0,8,Delivered,COD,4.6,7-10 Days,High Rating,No Discount
ORD00134,C05962,S0441,P0387,2025-06-04,2,3025,0.0,6050.0,3,Delivered,COD,5.0,1-3 Days,High Rating,No Discount
ORD00135,C05763,S0451,P0058,2025-12-17,1,3614,0.1,3252.6,8,Delivered,COD,4.7,7-10 Days,High Rating,1-10%
ORD00136,C05656,S0441,P0486,2025-10-13,1,3232,0.0,3232.0,3,Delivered,Credit Card,5.0,1-3 Days,High Rating,No Discount
ORD00137,C09728,S0649,P0378,2025-02-01,1,3891,0.15,3307.35,3,Delivered,UPI,4.6,1-3 Days,High Rating,11-20%
ORD00138,C03664,S0171,P0106,2025-03-17,1,344,0.0,344.0,4,Delivered,COD,3.8,4-6 Days,Medium Rating,No Discount
ORD00139,C03241,S0893,P0155,2025-09-15,1,2759,0.1,2483.1,8,Delivered,COD,3.4,7-10 Days,Low Rating,1-10%
ORD00140,C09043,S0842,P0201,2025-02-22,1,598,0.1,538.2,3,Delivered,UPI,4.3,1-3 Days,Medium Rating,1-10%
ORD00141,C04494,S0780,P0291,2025-01-17,1,4445,0.25,3333.75,4,Delivered,Credit Card,4.8,4-6 Days,High Rating,21-30%
ORD00142,C05109,S0433,P0440,2025-01-01,1,2613,0.15,2221.05,4,Delivered,UPI,4.5,4-6 Days,Medium Rating,11-20%
ORD00143,C00907,S0095,P0118,2025-01-24,1,989,0.05,939.55,9,Delivered,Wallet,3.2,7-10 Days,Low Rating,1-10%
ORD00144,C09269,S0785,P0034,2025-08-18,2,3323,0.2,5316.8,3,Delivered,COD,4.1,1-3 Days,Medium Rating,11-20%
ORD00145,C02971,S0675,P0001,2025-07-19,2,3142,0.15,5341.4,1,Delivered,UPI,4.4,1-3 Days,Medium Rating,11-20%
ORD00146,C06966,S0088,P0184,2025-01-16,1,862,0.1,775.8,7,Delivered,UPI,4.7,7-10 Days,High Rating,1-10%
ORD00147,C00423,S0521,P0377,2025-08-18,2,4524,0.0,9048.0,4,Delivered,COD,3.9,4-6 Days,Medium Rating,No Discount
ORD00148,C02332,S0385,P0351,2025-08-15,1,2076,0.1,1868.4,6,Delivered,Wallet,4.9,4-6 Days,High Rating,1-10%
ORD00149,C02877,S0587,P0270,2025-01-09,1,845,0.05,802.75,8,Delivered,UPI,3.3,7-10 Days,Low Rating,1-10%
ORD00150,C05252,S0649,P0213,2025-10-03,1,2283,0.2,1826.4,5,Delivered,UPI,4.6,4-6 Days,High Rating,11-20%
ORD00151,C03692,S0305,P0422,2025-05-12,1,2322,0.2,1857.6,2,Delivered,UPI,3.7,1-3 Days,Medium Rating,11-20%
ORD00152,C06950,S0866,P0050,2025-03-12,1,1342,0.25,1006.5,5,Delivered,Debit Card,3.0,4-6 Days,Low Rating,21-30%
ORD00153,C02344,S0862,P0060,2025-02-08,1,4898,0.15,4163.3,6,Delivered,UPI,3.8,4-6 Days,Medium Rating,11-20%
ORD00154,C04934,S0469,P0133,2025-10-17,3,1352,0.05,3853.2,4,Delivered,COD,3.8,4-6 Days,Medium Rating,1-10%
ORD00155,C09490,S0497,P0499,2025-02-15,1,4480,0.25,3360.0,2,Delivered,Credit Card,5.0,1-3 Days,High Rating,21-30%
ORD00156,C06686,S0993,P0475,2025-03-06,2,1144,0.0,2288.0,10,Delivered,Debit Card,4.5,7-10 Days,Medium Rating,No Discount
ORD00157,C04276,S0743,P0458,2025-05-17,1,3977,0.25,2982.75,6,Delivered,COD,3.5,4-6 Days,Low Rating,21-30%
ORD00158,C01108,S0377,P0404,2025-03-02,1,1866,0.0,1866.0,2,Delivered,Wallet,3.7,1-3 Days,Medium Rating,No Discount
ORD00159,C09252,S0950,P0336,2025-03-28,2,4126,0.2,6601.6,3,Delivered,COD,3.7,1-3 Days,Medium Rating,11-20%
ORD00160,C09681,S0915,P0235,2025-11-25,2,3064,0.0,6128.0,2,Delivered,Debit Card,3.9,1-3 Days,Medium Rating,No Discount
ORD00161,C01093,S0127,P0431,2025-08-24,1,674,0.1,606.6,3,Delivered,UPI,4.5,1-3 Days,Medium Rating,1-10%
ORD00162,C08212,S0481,P0412,2025-07-05,2,4325,0.25,6487.5,3,Cancelled,Debit Card,3.6,1-3 Days,Medium Rating,21-30%
ORD00163,C01546,S0851,P0464,2025-02-02,1,2422,0.1,2179.8,4,Delivered,UPI,3.5,4-6 Days,Low Rating,1-10%
ORD00164,C06252,S0398,P0326,2025-08-21,1,1914,0.15,1626.9,2,Delivered,COD,4.5,1-3 Days,Medium Rating,11-20%
ORD00165,C01381,S0739,P0164,2025-03-26,1,1443,0.0,1443.0,6,Delivered,Debit Card,3.3,4-6 Days,Low Rating,No Discount
ORD00166,C02995,S0923,P0445,2025-07-02,1,3956,0.1,3560.4,3,Delivered,COD,5.0,1-3 Days,High Rating,1-10%
ORD00167,C01605,S0602,P0069,2025-08-06,1,3956,0.0,3956.0,3,Delivered,UPI,3.6,1-3 Days,Medium Rating,No Discount
ORD00168,C08939,S0114,P0426,2025-08-01,1,3137,0.1,2823.3,4,Delivered,COD,3.3,4-6 Days,Low Rating,1-10%
ORD00169,C08620,S0685,P0193,2025-11-25,1,2303,0.1,2072.7,1,Delivered,COD,4.0,1-3 Days,Medium Rating,1-10%
ORD00170,C00477,S0175,P0333,2025-01-22,1,337,0.15,286.45,4,Delivered,COD,4.4,4-6 Days,Medium Rating,11-20%
ORD00171,C06073,S0780,P0082,2025-05-19,2,345,0.15,586.5,4,Delivered,COD,4.8,4-6 Days,High Rating,11-20%
ORD00172,C04345,S0330,P0322,2025-05-01,3,4606,0.15,11745.3,1,Delivered,UPI,4.1,1-3 Days,Medium Rating,11-20%
ORD00173,C00008,S0122,P0052,2025-08-01,1,3942,0.05,3744.9,6,Delivered,COD,3.7,4-6 Days,Medium Rating,1-10%
ORD00174,C07104,S0738,P0103,2025-02-15,1,1622,0.15,1378.7,3,Delivered,UPI,4.2,1-3 Days,Medium Rating,11-20%
ORD00175,C01289,S0835,P0024,2025-07-15,1,4173,0.0,4173.0,1,Delivered,UPI,4.2,1-3 Days,Medium Rating,No Discount
ORD00176,C03021,S0663,P0320,2025-08-30,2,614,0.05,1166.6,4,Delivered,COD,3.1,4-6 Days,Low Rating,1-10%
ORD00177,C07551,S0659,P0194,2025-02-12,1,438,0.2,350.4,7,Delivered,UPI,4.1,7-10 Days,Medium Rating,11-20%
ORD00178,C04021,S0715,P0027,2025-05-04,1,4397,0.05,4177.15,7,Delivered,COD,3.5,7-10 Days,Low Rating,1-10%
ORD00179,C07016,S0199,P0097,2025-08-29,2,4320,0.25,6480.0,5,Delivered,COD,4.6,4-6 Days,High Rating,21-30%
ORD00180,C02901,S0670,P0118,2025-03-21,2,989,0.1,1780.2,3,Delivered,COD,3.9,1-3 Days,Medium Rating,1-10%
ORD00181,C07496,S0865,P0427,2025-03-21,2,3621,0.1,6517.8,6,Returned,UPI,3.7,4-6 Days,Medium Rating,1-10%
ORD00182,C03473,S0015,P0060,2025-10-29,1,4898,0.0,4898.0,4,Delivered,UPI,3.0,4-6 Days,Low Rating,No Discount
ORD00183,C01610,S0871,P0195,2025-02-09,2,2823,0.2,4516.8,2,Delivered,COD,3.4,1-3 Days,Low Rating,11-20%
ORD00184,C02007,S0935,P0450,2025-05-23,1,430,0.1,387.0,5,Delivered,Credit Card,3.5,4-6 Days,Low Rating,1-10%
ORD00185,C08500,S0773,P0438,2025-07-20,1,4369,0.2,3495.2,6,Delivered,UPI,4.2,4-6 Days,Medium Rating,11-20%
ORD00186,C07873,S0859,P0005,2025-02-01,2,1306,0.1,2350.8,6,Delivered,Debit Card,4.8,4-6 Days,High Rating,1-10%
ORD00187,C04969,S0323,P0064,2025-07-17,2,2942,0.15,5001.4,4,Delivered,UPI,4.2,4-6 Days,Medium Rating,11-20%
ORD00188,C08517,S0395,P0407,2025-04-05,2,838,0.15,1424.6,1,Delivered,Credit Card,4.3,1-3 Days,Medium Rating,11-20%
ORD00189,C07140,S0834,P0230,2025-07-24,1,3018,0.15,2565.3,5,Delivered,COD,4.4,4-6 Days,Medium Rating,11-20%
ORD00190,C09681,S0757,P0321,2025-05-20,1,1790,0.15,1521.5,7,Delivered,UPI,3.1,7-10 Days,Low Rating,11-20%
ORD00191,C04618,S0159,P0185,2025-07-23,2,3253,0.1,5855.4,2,Delivered,COD,4.6,1-3 Days,High Rating,1-10%
ORD00192,C07020,S0629,P0229,2025-08-12,1,559,0.1,503.1,2,Delivered,Debit Card,4.0,1-3 Days,Medium Rating,1-10%
